film_id,title,director,year,country,genre,film_type,category,actors,alternate_titles
4ce2b6938b54a,O Lucky Man!,,1973,United Kingdom::USA,Comedy::Fantasy,Film,Fiction,Malcolm McDowell::Ralph Richardson::Rachel Roberts,Lucky Man::Coffee Man
4ce2b693a1a98,Le TEMPESTAIRE,Jean Epstein,1947,France,Fantasy,Film,Non Fiction,,
4ce2b693a235d,TERRA EM TRANSE,Glauber Rocha,1967,Brazil,Drama,Film,Fiction,Jardel Filho::José Lewgoy::Glauce Rocha,LAND IN TRANCE::LAND IN TORMENT::LAND IN ANGUISH::EARTH ENTRANCED
4ce2b693a2ab4,T.G.: Psychic Rally in Heaven,Derek Jarman,1981,United Kingdom,Performance,Film,Fiction,Throbbing Gristle::Genesis P. Orridge::Chris Carter,Throbbing Gristle::Psychic Rally in Heaven
4ce2b693b2c90,DOBRO POZHALOVAT,Elem Klimov,1964,USSR,,Film,Fiction,Vitya Kosykh::Evgeny Evstignyev::Lydia Smirnova,NO HOLIDAY FOR INOCHKIN::WELCOME::WELCOME OR NO ENTRY FOR UNAUTHORISED PERSONS
4ce2b693c9d98,The Draughtsman's Contract,,1982,United Kingdom,Period drama,Film,Fiction,Anthony Higgins::Janet Suzman::Anne Louise Lambert,Meurtre Dans Un Jardin Anglais::Der Kontrakt Des Zeichners
4ce2b693ce4b7,Dune,David Lynch,1984,USA,Science Fiction,Film,Fiction,The Vienna Symphony Orchestra::Francesca Annis::Leonardo Cimino,
4ce2b693ec5ed,E.T.  The Extra-terrestrial,Steven Spielberg,1982,USA,Science Fiction,Film,Fiction,Dee Wallace-Stone::Peter Coyote::Robert MacNaughton,E.T. and Me::A Boy's Life
4ce2b69412f2f,FAITS DIVERS,,1983,France,Documentary,Film,Non Fiction,,NEWS ITEMS::MIXED REPORTS
4ce2b69415af8,Fanny and Alexander,Ingmar Bergman,1982,France::Sweden::Federal Republic of Germany,Drama,Television,Fiction,Kristina Adolphson::Börje Ahlstedt::Pernilla Allwin,Fanny och Alexander::Fanny und Alexander::Fanny et Alexandre
4ce2b6943bc4f,Fast Times at Ridgemont High,Amy Heckerling,1982,USA,Comedy,Film,Fiction,Sean Penn::Jennifer Jason Leigh::Judge Reinhold,Fast Times
4ce2b6946027e,MUHAMMAD ALI THE GREATEST,William Klein,1975,France,Sport::Documentary,Film,Non Fiction,Muhammad Ali::John Lennon::Paul McCartney,
4ce2b6946d914,Fitzcarraldo,Werner Herzog,1981,Peru::Federal Republic of Germany,Drama::Historical drama,Film,Fiction,Klaus Kinski::José Lewgoy::Miguel Ángel Fuentes,
4ce2b6946f336,Fletch,Michael Ritchie,1985,USA,Comedy::Crime,Film,Fiction,Chevy Chase::Joe Don Baker::Dana Wheeler-Nicholson,
4ce2b6947702f,Four Friends,Arthur Penn,1981,USA,Drama,Film,Fiction,Craig Wasson::Jodi Thelen::Michael Huddleston,Georgia::Georgia's Friends
4ce2b6947e49e,FUKUSHÛ SURU WA WARE NI ARI,Shohei Imamura,1979,Japan,Thriller,Film,Fiction,Ken Ogata::Rentarô Mikuni::Chocho Miyako,FUKUSHU SURUWA WARENI ARI::VENGEANCE IS MINE
4ce2b695532d5,Sisters,Brian De Palma,1972,USA,Horror,Film,Fiction,Margot Kidder::Jennifer Salt::Charles Durning,Blood Sisters
4ce2b69554d15,Die bleierne Zeit,Margarethe von Trotta,1981,Federal Republic of Germany,Drama,Film,Fiction,Jutta Lampe::Barbara Sukowa::Rüdiger Vogler,The German Sisters::Leaden Times::Marianne and Juliane
4ce2b69555337,Scarface,Brian De Palma,1983,USA,Gangster::Crime,Film,Fiction,Al Pacino::Steven Bauer::Michelle Pfeiffer,
4ce2b6955c6ba,Rear Window,Alfred Hitchcock,1954,USA,Thriller,Film,Fiction,James Stewart::Grace Kelly::Wendell Corey,
4ce2b6956104b,Suspiria,,1977,Italy,Horror,Film,Fiction,Jessica Harper::Stefania Casini::Flavio Bucci,
4ce2b69562aa2,Apocalypse Now,Francis Ford Coppola,1979,USA,War,Film,Fiction,Marlon Brando::Robert Duvall::Martin Sheen,Apocalypse Now  Redux
4ce2b6956f901,Young at Heart,Gordon Douglas,1955,USA,Musical::Romance,Film,Fiction,Doris Day::Frank Sinatra::Gig Young,
4ce2b6958918e,Gandhi,Richard Attenborough,1982,United Kingdom::India::USA,Biopic::Historical drama,Film,Fiction,Sultan Khan::Sharad Kumar::T.K. Ramakrishnan,
4ce2b69592ecf,"Paris, Texas",Wim Wenders,1984,France::United Kingdom::Federal Republic of Germany,Drama,Film,Fiction,Harry Dean Stanton::Nastassja Kinski::Dean Stockwell,Motel Chronicles
4ce2b69593482,Videodrome,David Cronenberg,1983,Canada,Horror::Science Fiction::Fantasy::Thriller,Film,Fiction,James Woods::Sonja Smits::Debbie Harry,
4ce2b695e80e1,Broadway Danny Rose,Woody Allen,1984,USA,Comedy,Film,Fiction,Woody Allen::Mia Farrow::Nick Apollo Forte,
4ce2b69612f7d,Burden of Dreams,Les Blank,1982,USA,Documentary,Film,Non Fiction,Candace Laughlin::Werner Herzog::Klaus Kinski,
4ce2b696e115a,FENG GUILAI DE REN,Hou Hsiao-Hsien,1983,Taiwan,Drama,Film,Fiction,Doze Niu Cheng-Tse::Lin Hsiu-ling::To Tsung-hua,ALL THE YOUTHFUL DAYS::FENGGUI LAI DE REN::FENGGUEI LAI DE REN::The BOYS FROM FENGKUEI::The MAN FROM FENGKUEI::The BOYS OF FENGKUEI::FENG-KUEI-LAI-TE-JEN::FENG GUILAI  DE REN
4ce2b69771deb,Merry Christmas Mr. Lawrence,Nagisa Oshima,1983,United Kingdom::Japan::New Zealand,War,Film,Fiction,David Bowie::Tom Conti::Ryuichi Sakamoto,Senjo No Merry Christmas::Happy Christmas Mr Lawrence::Senjou No Merii Kurisumasu::Furyo
4ce2b6979a05b,Couch,Andy Warhol,1966,USA,Drama,Film,Fiction,Gerard Malanga::Ondine::Allen Ginsberg,
4ce2b697b0230,"TATLO, DALAWA, ISA",Lino Brocka,1975,Philippines,Anthology,Film,Fiction,Lolita Rodriguez::Hilda Koronel::Perla Bautista,"MGA HUGIS NG PAG - ASA (PART 1)::THREE, TWO, ONE::BUKAS MADILIM BUKAS::HELLOW SOLDIER"
4ce2b697b6106,Time Bandits,Terry Gilliam,1981,United Kingdom,Comedy::Fantasy,Film,Fiction,John Cleese::Sean Connery::Shelley Duvall,
