voter_name,voter_id,voter_url,voter_role,voter_nationality,voter_gender,poll_category,voter_title,film_count,voter_comments
Gulnara Abikeyeva,558,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/558,programmer,Kazakhstan,Female,critics poll,"Art director, International Eurasia Film Festival",10,"For me, the art of Charlie Chaplin – though I’ve chosen Modern Times, it could be any of his films – is the sign of the birth of cinema. We love films neither for the reproduction of real life nor for the entertainment, but for the appearance of the human being. 
Rashomon shows us impossibility of understanding the world and the inability of discovering the truth – those are, at first sight, European existential values, but they were brought to cinema by its Eastern film director.
Everything became possible in cinema because Wild Strawberries appeared. Again, I choose it not for the entertainment purposes, but as a reflection of fantasies and human imagination. 
Le Notti di Cabiria has absolute genuineness and an attachment to human soul. Neorealism, in my opinion, is the basis of cinema as art. 
Land of Fathers is one of the best Soviet films of the ‘Thaw’ period. It has not gained worldwide audience because distributing Kazakh films was prohibited during Soviet times. The dialogue of civilisations, an examination of archetypes, finding yourself and your roots – all of these are in the film. 
“Human needs human” – this is Goethe’s phrase as said by Snaut in Solaris, a film of psychologism, philosophy, aesthetic film language and direct emotions. 
Gabbeh is a cinematographic anthem of love, nature and life. The story is set in ‘heaven on earth’; its director brought primordial beauty to love. 
Beshkempir: The Adopted Son displays the Central Asian mentality in contemporary film language. For me, this is the first film that revived my childhood feelings and emotions. 
The Matrix is a bright image of Buddhist duality and an imaginary replica of the people of the western hemisphere; Spring, Summer, Fall, Winter and Spring…, meanwhile, also reflects Bhuddist philosophy in the bright visual images and in its portrayal of the path that a human being takes in overcoming himself.
This is the reflection of Bhuddist philosophy in the bright visual images and reflection of the path that human being is undertaking in overcoming himself.
"
Lenny Abrahamson,1033,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1033,Director,Ireland,Male,directors poll,Garage; Adam and Paul,10,"I found this a very tough exercise and there was much soul-searching. I could easily have put in another two each for Bresson and Tarkovsky, it felt like betrayal to leave out several of Kieslowski's and a couple of Fellini's (La Strada in particular which had a big effect on my development as a filmmaker), and there are some more recent films which perhaps would be on the list if I'd had more time to live with them."
Mehmet Açar,316,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/316,critic,Turkey,Male,critics poll,"Critic, Haberturk",10,"I have chosen these ten films for purely aesthetic reasons. I believe they are very close to the definition of ‘artistic perfection’ – or my definition of it, at least. Some of them might not be historically important but I’m sure most inspired numerous filmmakers in many ways. Besides, I think the directors of these ten films succeeded in using film grammar not only to tell a story but also as a way of understanding modern society and human psychology. I also have to mention that those directors achieved their general artistic goals flawlessly."
Newton Aduaka,1090,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1090,Director,Nigerla,Male,directors poll,Ezra; Rage,10,"Though I might agree with most films listed in the eventual outcome of this exercise, I have tried to stray slightly away from received wisdom."
Eva af Geijerstam,624,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/624,critic,Sweden,Female,critics poll,Critic,10,"I left out the Kubricks and the Renoirs, the Scorseses and the Antonionis, the Godards and the Bergmans, the Vardas, the Rosis and the Rochas, the Rossellinis and the Fellinis, the Wilders and the Langs, the Murnaus and the Herzogs, the Fassbinders, the Coppolas and the Powell/Pressburgers, the Klimovs, the Kiarostamis, the Kieslowskis, the Tarkovskijs and the… – could go on for a long time. I’ve just kept the ten films that I’ve seen time and again, in which I’ve constantly discovered new layers of meaning and beauty. I’m sure that by tomorrow there’ll be a new list of ten. As of matter of fact there already is."
Kaleem Aftab,444,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/444,critic,UK,Male,critics poll,"Writer, the Independent, the National, Interview",10,"In the end I’ve chosen the films that had the biggest influence on my love for cinema as it was impossible to choose the greatest films. I had more than 35 films on that list. Most of them I watched for the first time on video cassette in the years immediately after my dad brought home a VCR in 1986. Before that moment I hardly watched a film at all.
I can’t remember why, or how it got into my head, but I always imagined Jean-Luc Godard was cool from a young age, and when I saw Band à part I was finally proved right. It’s packed with perfect screen moments: the run through the Louvre; the hypnotic dance sequence, which I once tried to recreate when performing for some friends; and of course two guys and a girl.
I’ll never forget Dennis Hopper scaring the shit out of me to Roy Orbison’s In Dreams in Blue Velvet, or how beautiful Isabella Rossellini seemed, even as I watched through the slits of my fingers. It remains the only film that can still send chills down my spine no matter how many times I see it.
Do The Right Thing was the film to see when I was 15. It had all the things that seemed to affect my life at the time: racism, music and a desire for cool trainers. It defined the era and introduced me to New York. I’ll even admit that the first time I saw it I was too young to really appreciate how good it is, and of course it was the film that got me intrigued by Spike Lee.
It’s only one moment in Oliver Hirschbiegel’s Downfall, yet Bruno Ganz’s performance as Hitler is so brilliant in showing his disgust at the failure of Steiner to attack the allies that the scene has been used and abused by legions of internet users around the world, replacing the orignal subtitles to comment on current affairs – it’s the gift that won’t stop giving. My favourite iteration is Plankhead’s 2010 version of the scene, about the reaction to the scenes being removed from the internet: it shows a complete corporate misunderstanding of how audiences were helping to bring an arthouse German film to worldwide attention. Of course, changing the subtitles is an old joke – mistranslations have been a staple of comedians for years – but it doesn’t stop the original internet mash-up from being funny and is probably the single scene I’ve watched the most in the last decade. For that alone it makes the list.
There are so many reasons I love La dolce vita that I don’t know where to start – my friends calling me Marcello after a particular successful night out in Italy is definitely the most personal and worst of them. More pertinently, it has the greatest performance from my favourite actor of all time.
Pakeezah was the one film in my parents’ catalogue of Indian films that I would watch happily time and time again as a youngster. I didn’t even realise how great it was until I saw some other Bollywood hits and became better versed in musicals from all over the world. For the soundtrack alone (which I regularly play on my iPhone) it would get into any ‘best of’ lists; add to that its perfect dance sequences, a heartbreaking melodramatic tale of family strive and the perfect depiction of how nurture can outdo nature, and before you can sing ‘Chalo Dildar Chalo’ I’m investing in the dreams of a prostitute.
It was hard to choose one Alfred Hitchcock film but Psycho was the first one that I saw, and for that alone it beats out Vertigo, Rear Window and North by Northwest. It’s simply too hard to choose between them on anything but irrational grounds.
Films and sport are two of my greatest loves but sadly the combination on the silver screen usually gives me the same sense of sadness I get when watching Fulham lose at Craven Cottage. Raging Bull avoids all the sporting clichés that usually make sporting movies a bore. It tells the story of two brothers who don’t know whether to love each other or hit each other – De Niro and Pesci at their electrifying best.
Someone once said to me that it’s odd if Sweet Smell of Success makes you want to be a journalist – if only I had realised that the reality it would be all the hassles without the power. Alexandra Mckendrick is probably one of the world’s most underrated directors. 
The Outsiders is not even Francis Ford Coppola’s best film, yet it’s the movie I’ve seen the most times, and I can probably still quote every line. How much I wanted to be Dallas Winston. Matt Dillon seemed so cool. Alas, they do say, one should never meet your heroes.
In the end I’ve chosen the films that had the biggest influence on my love for cinema as it was impossible to choose the greatest films. I had more than 35 films on that list. Most of them I watched for the first time on video cassette in the years immediately after my dad brought home a VCR in 1986. Before that moment I hardly watched a film at all.
I can’t remember why, or how it got into my head, but I always imagined Jean-Luc Godard was cool from a young age, and when I saw Band à part I was finally proved right. It’s packed with perfect screen moments: the run through the Louvre; the hypnotic dance sequence, which I once tried to recreate when performing for some friends; and of course two guys and a girl.
I’ll never forget Dennis Hopper scaring the shit out of me to Roy Orbison’s In Dreams in Blue Velvet, or how beautiful Isabella Rossellini seemed, even as I watched through the slits of my fingers. It remains the only film that can still send chills down my spine no matter how many times I see it.
Do The Right Thing was the film to see when I was 15. It had all the things that seemed to affect my life at the time: racism, music and a desire for cool trainers. It defined the era and introduced me to New York. I’ll even admit that the first time I saw it I was too young to really appreciate how good it is, and of course it was the film that got me intrigued by Spike Lee.
It’s only one moment in Oliver Hirschbiegel’s Downfall, yet Bruno Ganz’s performance as Hitler is so brilliant in showing his disgust at the failure of Steiner to attack the allies that the scene has been used and abused by legions of internet users around the world, replacing the orignal subtitles to comment on current affairs – it’s the gift that won’t stop giving. My favourite iteration is Plankhead’s 2010 version of the scene, about the reaction to the scenes being removed from the internet: it shows a complete corporate misunderstanding of how audiences were helping to bring an arthouse German film to worldwide attention. Of course, changing the subtitles is an old joke – mistranslations have been a staple of comedians for years – but it doesn’t stop the original internet mash-up from being funny and is probably the single scene I’ve watched the most in the last decade. For that alone it makes the list.
There are so many reasons I love La dolce vita that I don’t know where to start – my friends calling me Marcello after a particular successful night out in Italy is definitely the most personal and worst of them. More pertinently, it has the greatest performance from my favourite actor of all time.
Pakeezah was the one film in my parents’ catalogue of Indian films that I would watch happily time and time again as a youngster. I didn’t even realise how great it was until I saw some other Bollywood hits and became better versed in musicals from all over the world. For the soundtrack alone (which I regularly play on my iPhone) it would get into any ‘best of’ lists; add to that its perfect dance sequences, a heartbreaking melodramatic tale of family strive and the perfect depiction of how nurture can outdo nature, and before you can sing ‘Chalo Dildar Chalo’ I’m investing in the dreams of a prostitute.
It was hard to choose one Alfred Hitchcock film but Psycho was the first one that I saw, and for that alone it beats out Vertigo, Rear Window and North by Northwest. It’s simply too hard to choose between them on anything but irrational grounds.
Films and sport are two of my greatest loves but sadly the combination on the silver screen usually gives me the same sense of sadness I get when watching Fulham lose at Craven Cottage. Raging Bull avoids all the sporting clichés that usually make sporting movies a bore. It tells the story of two brothers who don’t know whether to love each other or hit each other – De Niro and Pesci at their electrifying best.
Someone once said to me that it’s odd if Sweet Smell of Success makes you want to be a journalist – if only I had realised that the reality it would be all the hassles without the power. Alexandra Mckendrick is probably one of the world’s most underrated directors. 
The Outsiders is not even Francis Ford Coppola’s best film, yet it’s the movie I’ve seen the most times, and I can probably still quote every line. How much I wanted to be Dallas Winston. Matt Dillon seemed so cool. Alas, they do say, one should never meet your heroes.

In the end I’ve chosen the films that had the biggest influence on my love for cinema as it was impossible to choose the greatest films. I had more than 35 films on that list. Most of them I watched for the first time on video cassette in the years immediately after my dad brought home a VCR in 1986. Before that moment I hardly watched a film at all.
I can’t remember why, or how it got into my head, but I always imagined Jean-Luc Godard was cool from a young age, and when I saw Band à part I was finally proved right. It’s packed with perfect screen moments: the run through the Louvre; the hypnotic dance sequence, which I once tried to recreate when performing for some friends; and of course two guys and a girl.
I’ll never forget Dennis Hopper scaring the shit out of me to Roy Orbison’s In Dreams in Blue Velvet, or how beautiful Isabella Rossellini seemed, even as I watched through the slits of my fingers. It remains the only film that can still send chills down my spine no matter how many times I see it.
Do The Right Thing was the film to see when I was 15. It had all the things that seemed to affect my life at the time: racism, music and a desire for cool trainers. It defined the era and introduced me to New York. I’ll even admit that the first time I saw it I was too young to really appreciate how good it is, and of course it was the film that got me intrigued by Spike Lee.
It’s only one moment in Oliver Hirschbiegel’s Downfall, yet Bruno Ganz’s performance as Hitler is so brilliant in showing his disgust at the failure of Steiner to attack the allies that the scene has been used and abused by legions of internet users around the world, replacing the orignal subtitles to comment on current affairs – it’s the gift that won’t stop giving. My favourite iteration is Plankhead’s 2010 version of the scene, about the reaction to the scenes being removed from the internet: it shows a complete corporate misunderstanding of how audiences were helping to bring an arthouse German film to worldwide attention. Of course, changing the subtitles is an old joke – mistranslations have been a staple of comedians for years – but it doesn’t stop the original internet mash-up from being funny and is probably the single scene I’ve watched the most in the last decade. For that alone it makes the list.
There are so many reasons I love La dolce vita that I don’t know where to start – my friends calling me Marcello after a particular successful night out in Italy is definitely the most personal and worst of them. More pertinently, it has the greatest performance from my favourite actor of all time.
Pakeezah was the one film in my parents’ catalogue of Indian films that I would watch happily time and time again as a youngster. I didn’t even realise how great it was until I saw some other Bollywood hits and became better versed in musicals from all over the world. For the soundtrack alone (which I regularly play on my iPhone) it would get into any ‘best of’ lists; add to that its perfect dance sequences, a heartbreaking melodramatic tale of family strive and the perfect depiction of how nurture can outdo nature, and before you can sing ‘Chalo Dildar Chalo’ I’m investing in the dreams of a prostitute.
It was hard to choose one Alfred Hitchcock film but Psycho was the first one that I saw, and for that alone it beats out Vertigo, Rear Window and North by Northwest. It’s simply too hard to choose between them on anything but irrational grounds.
Films and sport are two of my greatest loves but sadly the combination on the silver screen usually gives me the same sense of sadness I get when watching Fulham lose at Craven Cottage. Raging Bull avoids all the sporting clichés that usually make sporting movies a bore. It tells the story of two brothers who don’t know whether to love each other or hit each other – De Niro and Pesci at their electrifying best.
Someone once said to me that it’s odd if Sweet Smell of Success makes you want to be a journalist – if only I had realised that the reality it would be all the hassles without the power. Alexandra Mckendrick is probably one of the world’s most underrated directors. 
The Outsiders is not even Francis Ford Coppola’s best film, yet it’s the movie I’ve seen the most times, and I can probably still quote every line. How much I wanted to be Dallas Winston. Matt Dillon seemed so cool. Alas, they do say, one should never meet your heroes.
"
Alejandro Agresti,855,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/855,Director,Argentina,Male,directors poll,Valentin; The Lake House,10,The Best Years of our Life explores all the possibilities of film narrative with a compelling emotional result. 
Pedro Aguilera,1115,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1115,Director,Spain,Male,directors poll,La influencia; Shipwreck,10,"It´s impossible to state the best ten films in history because there are, of course, much more than that number. These are ten films that really impressed me at some point in my life. Many more movies affected me deeply but these come quickly to mind."
Ashim Ahluwalia,886,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/886,Director,India,Male,directors poll,Miss Lovely; John & Jane ,10,"In an ideal universe, I’d love the films that changed my life to be the Top 10 films of all time. This is sort of what that list could look like."
Daisuke Akasaka,704,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/704,Critic,Japan,Male,critics poll,Critic,10,"I had to exclude too many films: Hollywood B movies, Renoir, Dreyer, Buñuel, Murnau, Bresson, Rossellini, Warhol, Barnet, Dovzhenko, Ozu, Seijun Suzuki, Tai Kato, Naruse, Makino, Masumura, Nakagawa, Yamatoya, Tati, Robbe-Grillet, Carmelo Bene, Rocha, Ruiz, Kiarostami, nikkatsu roman porno movies, great documentaries (Nestler, Bitomsky, Farocki, Keuken, Wiseman)… and Déjeuner du chat (Louis Lumière 1895)."
