voter_id,film_title,film_url,film_id,film_year,film_director
558,Beshkempir,https://www2.bfi.org.uk/films-tv-people/4ce2b7fd6185b,4ce2b7fd6185b,1998,Aktan Arym Kubat
558,Gabbeh,https://www2.bfi.org.uk/films-tv-people/4ce2b7ee0f12e,4ce2b7ee0f12e,1996,Mohsen Makhmalbaf
558,Land of Fathers,https://www2.bfi.org.uk/films-tv-people/4ce2b78f168f3,4ce2b78f168f3,1966,Shaken Aimanov
558,"Matrix, The",https://www2.bfi.org.uk/films-tv-people/4ce2b81295544,4ce2b81295544,1999,Andy Wachowski/Lana Wachowski
558,Modern Times,https://www2.bfi.org.uk/films-tv-people/4ce2b6bbbf1e2,4ce2b6bbbf1e2,1936,Charles Chaplin
558,Nights of Cabiria,https://www2.bfi.org.uk/films-tv-people/4ce2b8331649f,4ce2b8331649f,1957,Federico Fellini
558,Rashomon,https://www2.bfi.org.uk/films-tv-people/4ce2b6b3ec3fe,4ce2b6b3ec3fe,1950,Akira Kurosawa
558,Solaris,https://www2.bfi.org.uk/films-tv-people/4ce2b6b657a6a,4ce2b6b657a6a,1972,Andrei Tarkovsky
558,"Spring, Summer, Fall, Winter and Spring…",https://www2.bfi.org.uk/films-tv-people/4ce2b89a9ee7b,4ce2b89a9ee7b,2003,Kim Ki-Duk
558,Wild Strawberries,https://www2.bfi.org.uk/films-tv-people/4ce2b6b6466ce,4ce2b6b6466ce,1957,Ingmar Bergman
1033,Barry Lyndon,https://www2.bfi.org.uk/films-tv-people/4ce2b6bc285f7,4ce2b6bc285f7,1975,Stanley Kubrick
1033,"Death of Mr Lazarescu, The",https://www2.bfi.org.uk/films-tv-people/4ce2b8b181b6e,4ce2b8b181b6e,2005,Cristi Puiu
1033,"Enigma of Kaspar Hauser, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ad87c49,4ce2b6ad87c49,1974,Werner Herzog
1033,Hidden,https://www2.bfi.org.uk/films-tv-people/4ce2b8b17e6c2,4ce2b8b17e6c2,2004,Michael Haneke
1033,"Killing of a Chinese Bookie, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ae11be2,4ce2b6ae11be2,1976,John Cassavetes
1033,"Man Escaped, A",https://www2.bfi.org.uk/films-tv-people/4ce2b6a7da289,4ce2b6a7da289,1956,Robert Bresson
1033,"Match Factory Girl, The",https://www2.bfi.org.uk/films-tv-people/4ce2b7a386c30,4ce2b7a386c30,1990,Aki Kaurismaki
1033,Mirror,https://www2.bfi.org.uk/films-tv-people/4ce2b6bb90873,4ce2b6bb90873,1974,Andrei Tarkovsky
1033,My Childhood,https://www2.bfi.org.uk/films-tv-people/4ce2b6b10e49d,4ce2b6b10e49d,1972,Bill Douglas
1033,"Silence, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6b94a861,4ce2b6b94a861,1963,Ingmar Bergman
316,2001: A Space Odyssey,https://www2.bfi.org.uk/films-tv-people/4ce2b6b9450a5,4ce2b6b9450a5,1968,Stanley Kubrick
316,Andrei Rublev,https://www2.bfi.org.uk/films-tv-people/4ce2b6b7433c1,4ce2b6b7433c1,1966,Andrei Tarkovsky
316,Barton Fink,https://www2.bfi.org.uk/films-tv-people/4ce2b7a7c7114,4ce2b7a7c7114,1991,Joel & Ethan Coen
316,Blade Runner,https://www2.bfi.org.uk/films-tv-people/4ce2b69ac89d8,4ce2b69ac89d8,1982,Ridley Scott
316,Blow Up,https://www2.bfi.org.uk/films-tv-people/4ce2b6f695fc4,4ce2b6f695fc4,1966,Michelangelo Antonioni
316,"Discreet Charm of the Bourgeoisie, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6a76bf31,4ce2b6a76bf31,1972,Luis Buñuel
316,Don't Look Now,https://www2.bfi.org.uk/films-tv-people/4ce2b6a91da80,4ce2b6a91da80,1973,Nicolas Roeg
316,Man with a Movie Camera,https://www2.bfi.org.uk/films-tv-people/4ce2b6a21d217,4ce2b6a21d217,1929,Dziga Vertov
316,Masculin Féminin,https://www2.bfi.org.uk/films-tv-people/4ce2b6b0155c4,4ce2b6b0155c4,1966,Jean-Luc Godard
316,Mulholland Dr,https://www2.bfi.org.uk/films-tv-people/4ce2b8379038e,4ce2b8379038e,2001,David Lynch
1090,"Aguirre, Wrath of God",https://www2.bfi.org.uk/films-tv-people/4ce2b6a54c395,4ce2b6a54c395,1972,Werner Herzog
1090,Apocalypse Now,https://www2.bfi.org.uk/films-tv-people/4ce2b69562aa2,4ce2b69562aa2,1979,Francis Ford Coppola
1090,Killer of Sheep,https://www2.bfi.org.uk/films-tv-people/4ce2b736ee9c0,4ce2b736ee9c0,1977,Charles Burnett
1090,Memories of Underdevelopment,https://www2.bfi.org.uk/films-tv-people/4ce2b6b03bb00,4ce2b6b03bb00,1968,Tomás Gutiérrez Alea
1090,"Pawnbroker, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6b2bba54,4ce2b6b2bba54,1964,Sydney Lumet
1090,Saraband,https://www2.bfi.org.uk/films-tv-people/4ce2b885c2f81,4ce2b885c2f81,2003,Ingmar Bergman
1090,"Short Film About Killing, A",https://www2.bfi.org.uk/films-tv-people/4ce2b7972a879,4ce2b7972a879,1987,Krzysztof Kieslowski
1090,"Spirit of the Beehive, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6a99de5f,4ce2b6a99de5f,1973,Víctor Erice
1090,Underground,https://www2.bfi.org.uk/films-tv-people/4ce2b7cb624b7,4ce2b7cb624b7,1995,Emir Kusturica
1090,Yeelen,https://www2.bfi.org.uk/films-tv-people/4ce2b79d52351,4ce2b79d52351,1987,Souleymane Cisse
624,"Atalante, L'",https://www2.bfi.org.uk/films-tv-people/4ce2b6a439bc9,4ce2b6a439bc9,1934,Jean Vigo
624,"Colour of Pomegranates, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6e73c109,4ce2b6e73c109,1968,Sergei Parajanov
624,"Exterminating Angel, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6b995895,4ce2b6b995895,1962,Luis Buñuel
624,Happy Together,https://www2.bfi.org.uk/films-tv-people/4ce2b803e5b2f,4ce2b803e5b2f,1997,Wong Kar Wai
624,Kaos,https://www2.bfi.org.uk/films-tv-people/4ce2b7338af44,4ce2b7338af44,1984,Paolo and Vittorio Taviani
624,"Night of the Hunter, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6b185765,4ce2b6b185765,1955,Charles Laughton
624,Once Upon a Time in America,https://www2.bfi.org.uk/films-tv-people/4ce2b6e31e32e,4ce2b6e31e32e,1983,Sergio Leone
624,Seven Samurai,https://www2.bfi.org.uk/films-tv-people/4ce2b6b5b6382,4ce2b6b5b6382,1954,Akira Kurosawa
624,"Son, The",https://www2.bfi.org.uk/films-tv-people/4ce2b872dd8ff,4ce2b872dd8ff,2002,Jean-Pierre Dardenne/Luc Dardenne
624,Spirited Away,https://www2.bfi.org.uk/films-tv-people/4ce2b83f86eb2,4ce2b83f86eb2,2001,Miyazaki Hayao
444,Bande à part,https://www2.bfi.org.uk/films-tv-people/4ce2b6a48ca02,4ce2b6a48ca02,1964,Jean-Luc Godard
444,Blue Velvet,https://www2.bfi.org.uk/films-tv-people/4ce2b6f6c85c4,4ce2b6f6c85c4,1986,David Lynch
444,Do The Right Thing,https://www2.bfi.org.uk/films-tv-people/4ce2b794e6dfb,4ce2b794e6dfb,1989,Spike Lee
444,"dolce vita, La",https://www2.bfi.org.uk/films-tv-people/4ce2b6a90d39d,4ce2b6a90d39d,1960,Federico Fellini
444,Downfall Reworked for YouTube,,,,Oliver Hirschbiegel
444,"Outsiders, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6c39c104,4ce2b6c39c104,1983,Francis Ford Coppola
444,Pakeezah,https://www2.bfi.org.uk/films-tv-people/4ce2b75403504,4ce2b75403504,1972,Kamal Amrohi
444,Psycho,https://www2.bfi.org.uk/films-tv-people/4ce2b6b39fc24,4ce2b6b39fc24,1960,Alfred Hitchcock
444,Raging Bull,https://www2.bfi.org.uk/films-tv-people/4ce2b6bf2249d,4ce2b6bf2249d,1980,Martin Scorsese
444,Sweet Smell of Success,https://www2.bfi.org.uk/films-tv-people/4ce2b6b774f0f,4ce2b6b774f0f,1957,Alexander Mackendrick
855,"Apartment, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6c010eb7,4ce2b6c010eb7,1960,Billy Wilder
855,"Asphalt Jungle, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6c04cde4,4ce2b6c04cde4,1950,John Huston
855,"Best Years of Our Lives, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6bf4befa,4ce2b6bf4befa,1946,William Wyler
855,Citizen Kane,https://www2.bfi.org.uk/films-tv-people/4ce2b6a7a801b,4ce2b6a7a801b,1941,Orson Welles
855,Cluny Brown,https://www2.bfi.org.uk/films-tv-people/4ce2b6a7bab4b,4ce2b6a7bab4b,1946,Ernst Lubitsch
855,Hannah and Her Sisters,https://www2.bfi.org.uk/films-tv-people/4ce2b7234f9b8,4ce2b7234f9b8,1986,Woody Allen
855,Kotch,https://www2.bfi.org.uk/films-tv-people/4ce2b6ae48730,4ce2b6ae48730,1971,Jack Lemmon
855,"Jour se Leve, Le",https://www2.bfi.org.uk/films-tv-people/4ce2b6adaff92,4ce2b6adaff92,1939,Marcel Carné
855,Red River,https://www2.bfi.org.uk/films-tv-people/4ce2b6b416034,4ce2b6b416034,1947,Howard Hawks/Arthur Rosson
855,Twelve O'Clock High,https://www2.bfi.org.uk/films-tv-people/4ce2b6b92a9f0,4ce2b6b92a9f0,1949,Henry King
1115,A nos Amours,https://www2.bfi.org.uk/films-tv-people/4ce2b69a3415f,4ce2b69a3415f,1983,Maurice Pialat
