film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6b9caca4,37,Vertigo,Alfred Hitchcock,1958,USA,Thriller,Film,James Stewart | Kim Novak | Barbara Bel Geddes
4ce2b6b8908e4,27,Tokyo Story,"Ozu Yasujirô ",1953,Japan,Drama,Film,Chishu Ryu | Chieko Higashiyama | Setsuko Hara
4ce2b6a7a801b,26,Citizen Kane,Orson Welles,1941,USA,Drama,Film,Joseph Cotten | Dorothy Comingore | Agnes Moorehead
4ce2b754db651,20,Passion of Joan of Arc,Carl Theodor Dreyer,1927,France,Biopic | Historical drama,Film,Renée Falconetti | Eugène-Charles-Joseph Silvain | Maurice Schutz
4ce2b6b7568ee,20,Sunrise,F. W. Murnau,1927,USA,Drama,Film,George O'Brien | Janet Gaynor | Margaret Livingston
4ce2b6a439bc9,18,L'Atalante,Jean Vigo,1934,France,Drama,Film,Michel Simon | Dita Parlo | Jean Dasté
4ce2b6a21d217,18,Man with a Movie Camera,Dziga Vertov,1929,USSR,Documentary,Film,Mikhail Kaufman
4ce2b6b41d658,17,La Règle du jeu,Jean Renoir,1939,France,Drama,Film,Nora Gregor | Paulette Dubost | Mila Parély
4ce2b6b6036b6,17,Singin' in the Rain,Stanley Donen/Gene Kelly,1951,USA,Comedy | Musical,Film,Gene Kelly | Donald O'Connor | Debbie Reynolds
4ce2b8485aac9,15,In The Mood For Love,Wong Kar Wai,2000,France | Hong Kong,Romance | Drama,Film,Maggie Cheung Man-yuk | Tony Leung Chiu-wai | Rebecca Pan Di-hua
4ce2b73116007,15,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Belgium | France,Drama,Film,Delphine Seyrig | Jan Decorte | Henri Storck
4ce2b6ab4237b,15,The Godfather: Part I,Francis Ford Coppola,1972,USA,Gangster,Film,Marlon Brando | Al Pacino | James Caan
4ce2b6a68bd9d,15,Battleship Potemkin,Sergei M Eisenstein,1925,USSR,Historical drama,Film,Aleksandr Antonov | Vladimir Barsky | Grigori V. Aleksandrov
4ce2b6a44b82c,14,Au Hasard Balthazar,Robert Bresson,1966,France | Sweden,Drama,Film,Anne Wiazemsky | Walter Green | François Lafarge
4ce2b6b25bb2b,14,8½,Federico Fellini,1963,France | Italy,Drama,Film,Marcello Mastroianni | Claudia Cardinale | Anouk Aimée
4ce2b6bfd1ebb,14,Breathless,Jean-Luc Godard,1960,France,Film noir,Film,Jean-Paul Belmondo | Jean Seberg | Henri-Jacques Huet
4ce2b6b54abdf,14,The Searchers,John Ford,1956,USA,Western,Film,John Wayne | Jeffrey Hunter | Vera Miles
4ce2b6b7433c1,13,Andrei Rublev,Andrei Tarkovsky,1966,USSR,Biopic,Film,Anatoli Solonitsyn | Ivan Lapikov | Nikolai Grinko
4ce2b6b9450a5,13,2001: A Space Odyssey,Stanley Kubrick,1968,United Kingdom | USA,Science Fiction,Film,Keir Dullea | Gary Lockwood | William Sylvester
4ce2b77b4418a,12,Touki Bouki,Djibril Diop Mambéty,1973,Senegal,Drama,Film,Magaye Niang | Mareme Niang | Christophe N'doulabia
4ce2b6ab42667,12,The Godfather: Part II,Francis Ford Coppola,1974,USA,Gangster,Film,Al Pacino | Robert Duvall | Diane Keaton
4ce2b6b049967,12,Le mépris,Jean-Luc Godard,1963,France | Italy,Drama,Film,Brigitte Bardot | Michel Piccoli | Jack Palance
4ce2b6b5b6382,11,Seven Samurai,Akira Kurosawa,1954,Japan,Drama,Film,Takashi Shimura | Toshiro Mifune | Seiji Miyaguchi
4ce2b6b0544c6,11,Metropolis,Fritz Lang,1927,Germany,Science Fiction,Film,Brigitte Helm | Alfred Abel | Gustav Fröhlich
4ce2b8379038e,11,Mulholland Dr,David Lynch,2001,France | USA,Thriller,Film,Justin Theroux | Naomi Watts | Laura Harring
4ce2b6aadb03d,11,The Leopard,Luchino Visconti,1963,France | Italy,Period drama,Film,Burt Lancaster | Claudia Cardinale | Alain Delon
4ce2b76e98a5c,10,Some Like It Hot,Billy Wilder,1959,USA,Comedy,Film,Marilyn Monroe | Tony Curtis | Jack Lemmon
4ce2b6b0511e9,10,Meshes of the Afternoon,Maya Deren/Alexander Hammid,1943,USA,Drama,Film,Maya Deren | Alexander Hackenschmied
4ce2b6955c6ba,10,Rear Window,Alfred Hitchcock,1954,USA,Thriller,Film,James Stewart | Grace Kelly | Wendell Corey
4ce2b6a498bd1,10,Late Spring,"Ozu Yasujirô ",1949,Japan,Drama,Film,Chishu Ryu | Setsuko Hara | Yumeji Tsukioka
4ce2b6b2deaa5,10,Persona,Ingmar Bergman,1966,Sweden,Drama,Film,Bibi Andersson | Liv Ullmann | Margareta Krook
4ce2b6bb90873,9,Mirror,Andrei Tarkovsky,1974,USSR,Biopic,Film,Margarita Terekhova | Ignat Daniltsev | Maria Tarkovskaya
4ce2b6f24787d,9,The Battle of Algiers,Gillo Pontecorvo,1966,Algeria | Italy,Drama,Film,Brahim Haggiag | Jean Martin | Yacef Sâadi
4ce2b6bf3bbfd,9,Stalker,Andrei Tarkovsky,1979,USSR,Science Fiction | Fantasy,Film,Aleksandr Kaidanovsky | Anatoli Solonitsyn | Nikolai Grinko
4ce2b76b0507b,9,Shoah,Claude Lanzmann,1985,France,Documentary,Film,
4ce2b6b3b75b7,8,The 400 Blows,François Truffaut,1959,France,Drama,Film,Jean-Pierre Léaud | Claire Maurier | Albert Rémy
4ce2b7b9372f0,8,La Jetée,Chris Marker,1962,France,Science Fiction,Film,Jean Négroni | Hélène Chatelain | Davos Hanich
4ce2b6b757144,8,Sunset Blvd.,Billy Wilder,1950,USA,Drama,Film,William Holden | Gloria Swanson | Erich von Stroheim
4ce2b69562aa2,8,Apocalypse Now,Francis Ford Coppola,1979,USA,War,Film,Marlon Brando | Robert Duvall | Martin Sheen
4ce2b7a39630e,8,Close-Up,Abbas Kiarostami,1989,Iran,Documentary drama,Film,Hossein Sabziyan | Mohsen Makhmalbaf | Abolfazl Ahankhah
4ce2b8203c690,8,Beau Travail,Claire Denis,1998,France,Drama,Film,Denis Lavant | Michel Subor | Grégoire Colin
4ce2b6ae61fec,8,The Bicycle Thieves,Vittorio de Sica,1948,Italy,Drama,Film,Lamberto Maggiorani | Enzo Staiola | Lianella Carell
4ce2b6b6466ce,8,Wild Strawberries,Ingmar Bergman,1957,Sweden,Drama,Film,Victor Sjöström | Bibi Andersson | Ingrid Thulin
4ce2b6b3ec3fe,8,Rashomon,Akira Kurosawa,1950,Japan,Crime | Period drama,Film,Toshiro Mifune | Machiko Kyo | Takashi Shimura
4ce2b6aae85f3,8,The General,Buster Keaton,1926,USA,Comedy | Period drama,Film,Buster Keaton | Jack Lowe | Jack Hanlon
4ce2b69ac89d8,8,Blade Runner,Ridley Scott,1982,Hong Kong | USA,Science Fiction,Film,Harrison Ford | Rutger Hauer | Sean Young
