film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b6b8908e4,48,Tokyo Story,"Ozu Yasujirô ",1953,Japan,Drama,Film,Chishu Ryu | Chieko Higashiyama | Setsuko Hara
4ce2b6b9450a5,42,2001: A Space Odyssey,Stanley Kubrick,1968,United Kingdom | USA,Science Fiction,Film,Keir Dullea | Gary Lockwood | William Sylvester
4ce2b6a7a801b,42,Citizen Kane,Orson Welles,1941,USA,Drama,Film,Joseph Cotten | Dorothy Comingore | Agnes Moorehead
4ce2b6b25bb2b,40,8½,Federico Fellini,1963,France | Italy,Drama,Film,Marcello Mastroianni | Claudia Cardinale | Anouk Aimée
4ce2b6b7bc1b8,34,Taxi Driver,Martin Scorsese,1976,USA,Drama,Film,Robert De Niro | Jodie Foster | Albert Brooks
4ce2b69562aa2,33,Apocalypse Now,Francis Ford Coppola,1979,USA,War,Film,Marlon Brando | Robert Duvall | Martin Sheen
4ce2b6ab4237b,31,The Godfather: Part I,Francis Ford Coppola,1972,USA,Gangster,Film,Marlon Brando | Al Pacino | James Caan
4ce2b6b9caca4,31,Vertigo,Alfred Hitchcock,1958,USA,Thriller,Film,James Stewart | Kim Novak | Barbara Bel Geddes
4ce2b6bb90873,30,Mirror,Andrei Tarkovsky,1974,USSR,Biopic,Film,Margarita Terekhova | Ignat Daniltsev | Maria Tarkovskaya
4ce2b6ae61fec,29,The Bicycle Thieves,Vittorio de Sica,1948,Italy,Drama,Film,Lamberto Maggiorani | Enzo Staiola | Lianella Carell
4ce2b6bfd1ebb,27,Breathless,Jean-Luc Godard,1960,France,Film noir,Film,Jean-Paul Belmondo | Jean Seberg | Henri-Jacques Huet
4ce2b6bf2249d,26,Raging Bull,Martin Scorsese,1980,USA,Biopic | Sport,Film,Robert De Niro | Joe Pesci | Cathy Moriarty
4ce2b6b7433c1,25,Andrei Rublev,Andrei Tarkovsky,1966,USSR,Biopic,Film,Anatoli Solonitsyn | Ivan Lapikov | Nikolai Grinko
4ce2b6b3b75b7,25,The 400 Blows,François Truffaut,1959,France,Drama,Film,Jean-Pierre Léaud | Claire Maurier | Albert Rémy
4ce2b69415af8,24,Fanny and Alexander,Ingmar Bergman,1984,France | Sweden | Federal Republic of Germany,Drama,Television,Kristina Adolphson | Börje Ahlstedt | Pernilla Allwin
4ce2b6b2deaa5,24,Persona,Ingmar Bergman,1966,Sweden,Drama,Film,Bibi Andersson | Liv Ullmann | Margareta Krook
4ce2b6b5b6382,22,Seven Samurai,Akira Kurosawa,1954,Japan,Drama,Film,Takashi Shimura | Toshiro Mifune | Seiji Miyaguchi
4ce2b6b3ec3fe,21,Rashomon,Akira Kurosawa,1950,Japan,Crime | Period drama,Film,Toshiro Mifune | Machiko Kyo | Takashi Shimura
4ce2b6bc285f7,19,Barry Lyndon,Stanley Kubrick,1975,United Kingdom | USA,Period drama,Film,Michael Hordern | Ryan O'Neal | Marisa Berenson
4ce2b752105a2,19,Ordet,Carl Theodor Dreyer,1955,Denmark,Drama,Film,Henrik Malberg | Emil Hass Christensen | Preben Lerdorff Rye
