film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b69415af8,7,Fanny and Alexander,Ingmar Bergman,1984,France | Sweden | Federal Republic of Germany,Drama,Television,Kristina Adolphson | Börje Ahlstedt | Pernilla Allwin
4ce2b6b8908e4,5,Tokyo Story,"Ozu Yasujirô ",1953,Japan,Drama,Film,Chishu Ryu | Chieko Higashiyama | Setsuko Hara
4ce2b6bf3bbfd,5,Stalker,Andrei Tarkovsky,1979,USSR,Science Fiction | Fantasy,Film,Aleksandr Kaidanovsky | Anatoli Solonitsyn | Nikolai Grinko
4ce2b6b3b75b7,5,The 400 Blows,François Truffaut,1959,France,Drama,Film,Jean-Pierre Léaud | Claire Maurier | Albert Rémy
4ce2b6b9caca4,5,Vertigo,Alfred Hitchcock,1958,USA,Thriller,Film,James Stewart | Kim Novak | Barbara Bel Geddes
4ce2b7a39630e,5,Close-Up,Abbas Kiarostami,1989,Iran,Documentary drama,Film,Hossein Sabziyan | Mohsen Makhmalbaf | Abolfazl Ahankhah
4ce2b6f24787d,5,The Battle of Algiers,Gillo Pontecorvo,1966,Algeria | Italy,Drama,Film,Brahim Haggiag | Jean Martin | Yacef Sâadi
4ce2b6bfd1ebb,5,Breathless,Jean-Luc Godard,1960,France,Film noir,Film,Jean-Paul Belmondo | Jean Seberg | Henri-Jacques Huet
4ce2b8485aac9,4,In The Mood For Love,Wong Kar Wai,2000,France | Hong Kong,Romance | Drama,Film,Maggie Cheung Man-yuk | Tony Leung Chiu-wai | Rebecca Pan Di-hua
4ce2b6bb90873,4,Mirror,Andrei Tarkovsky,1974,USSR,Biopic,Film,Margarita Terekhova | Ignat Daniltsev | Maria Tarkovskaya
4ce2b6b25bb2b,4,8½,Federico Fellini,1963,France | Italy,Drama,Film,Marcello Mastroianni | Claudia Cardinale | Anouk Aimée
4ce2b8203c690,4,Beau Travail,Claire Denis,1998,France,Drama,Film,Denis Lavant | Michel Subor | Grégoire Colin
4ce2b73116007,4,"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Belgium | France,Drama,Film,Delphine Seyrig | Jan Decorte | Henri Storck
4ce2b6a7a801b,4,Citizen Kane,Orson Welles,1941,USA,Drama,Film,Joseph Cotten | Dorothy Comingore | Agnes Moorehead
4f4b8d17bedb4,4,Melancholia,Lars von Trier,2011,Denmark | France | Germany | Italy | Sweden,Science Fiction | Drama,Film,Kirsten Dunst | Charlotte Gainsbourg | Alexander Skarsgård
4ce2b6b185765,4,The Night of the Hunter,Charles Laughton,1955,USA,Thriller | Drama,Film,Robert Mitchum | Shelley Winters | Lillian Gish
4ce2b7e2b963d,4,Breaking the Waves,Lars von Trier,1996,Denmark | Finland | France | Germany | Iceland | Italy | Netherlands | Norway | Sweden | USA,Drama,Film,Emily Watson | Stellan Skarsgård | Katrin Cartlidge
4ce2b6a439bc9,3,L'Atalante,Jean Vigo,1934,France,Drama,Film,Michel Simon | Dita Parlo | Jean Dasté
4ce2b6ba057c9,3,Vivre Sa Vie,Jean-Luc Godard,1962,France,Drama,Film,Anna Karina | Sady Rebbot | André S. Labarthe
4ce2b8b17e6c2,3,Hidden,Michael Haneke,2004,Austria | France | Germany | Italy,Thriller | Drama,Film,Daniel Auteuil | Juliette Binoche | Maurice Bénichou
4f4b8b7e5ef90,3,A Separation,Asghar Farhadi,2011,Iran,Drama,Film,Leila Hatami | Peyman Moaadi | Shahab Hosseini
4ce2b6b7433c1,3,Andrei Rublev,Andrei Tarkovsky,1966,USSR,Biopic,Film,Anatoli Solonitsyn | Ivan Lapikov | Nikolai Grinko
4ce2b6ab42667,3,The Godfather: Part II,Francis Ford Coppola,1974,USA,Gangster,Film,Al Pacino | Robert Duvall | Diane Keaton
4ce2b6a7e0681,3,The Conformist,Bernardo Bertolucci,1970,France | Italy | Federal Republic of Germany,Drama,Film,Jean-Louis Trintignant | Stefania Sandrelli | Gastone Moschin
4ce2b7b54d000,3,The Piano,Jane Campion,1992,Australia | France,Romance | Period drama,Film,Holly Hunter | Harvey Keitel | Sam Neill
4ce2b8137c327,3,Festen,Thomas Vinterberg,1998,Denmark,Drama,Film,Ulrich Thomsen | Henning Moritzen | Thomas Bo Larsen
4ce2b6a44b82c,3,Au Hasard Balthazar,Robert Bresson,1966,France | Sweden,Drama,Film,Anne Wiazemsky | Walter Green | François Lafarge
4ce2b6ae61fec,3,The Bicycle Thieves,Vittorio de Sica,1948,Italy,Drama,Film,Lamberto Maggiorani | Enzo Staiola | Lianella Carell
4ce2b6bfdd960,3,Fear Eats the Soul,Rainer Werner Fassbinder,1974,Federal Republic of Germany,Melodrama,Film,Brigitte Mira | El Hedi ben Salem | Irm Hermann
4ce2b7965be62,2,Wings of Desire,Wim Wenders,1987,France | Federal Republic of Germany,Romance | Fantasy,Film,Bruno Ganz | Solveig Dommartin | Otto Sander
4ce2b81d77d71,2,Songs from the Second Floor,Roy Andersson,2000,Denmark | France | Germany | Norway | Sweden,Drama,Film,Lars Nordh | Stefan Larsson | Bengt C.W. Carlsson
4ce2b8d4c824d,2,The White Ribbon,Michael Haneke,2009,Austria | France | Germany | Italy,Drama,Film,Christian Friedel | Ernst Jacobi | Leonie Benesch
4ce2b6a21d217,2,Man with a Movie Camera,Dziga Vertov,1929,USSR,Documentary,Film,Mikhail Kaufman
4ce2b6bcd514a,2,Days of Heaven,Terrence Malick,1978,USA,Drama,Film,Richard Gere | Brooke Adams | Sam Shepard
4ce2b8a69d6fb,2,Tropical Malady,Apichatpong Weerasethakul,2004,Switzerland | France | Germany | Italy | Thailand,Drama,Film,Banlop Lomnoi | Sakda Kaewbuadee | Sirivech Jareonchon
4ce2b6b1ca76f,2,Night and Fog,Alain Resnais,1955,France,Documentary | War,Film,Michel Bouquet
4ce2b6f695fc4,2,Blow Up,Michelangelo Antonioni,1966,United Kingdom | Italy | USA,Drama,Film,Vanessa Redgrave | Sarah Miles | David Hemmings
4ce2b78da502c,2,I am Cuba,Mikhail Kalatozov,1964,Cuba | USSR,Drama,Film,Sergio Corrieri | Salvador Wood | José Gallardo
4ce2b72b62c27,2,Come And See,Elem Klimov,1985,USSR,War,Film,Alexei Kravchenko | Olga Mironova | Liubomiras Laucevicius
4ce2b6a78d5ab,2,Chinatown,Roman Polanski,1974,USA,Film noir,Film,Jack Nicholson | Faye Dunaway | John Hillerman
4ce2b6a909d23,2,Dog Day Afternoon,Sidney Lumet,1975,USA,Police drama | Crime,Film,Al Pacino | Penelope Allen | Sully Boyar
4ce2b6a7da289,2,A Man Escaped,Robert Bresson,1956,France,Drama,Film,François Leterrier | Charles Le Clainche | Maurice Beerblock
