voter_id,raw_film_title,normed_film_title,searchable_film_title,film_director,film_director_searchable,film_year,film_id
558,Beshkempir,Beshkempir,beshkempir,Aktan Arym Kubat,aktan arym kubat,1998,4ce2b7fd6185b
558,Gabbeh,Gabbeh,gabbeh,Mohsen Makhmalbaf,mohsen makhmalbaf,1996,4ce2b7ee0f12e
558,Land of Fathers,Land of Fathers,land of fathers,Shaken Aimanov,shaken aimanov,1966,4ce2b78f168f3
558,"Matrix, The",The Matrix,the matrix,Andy Wachowski/Lana Wachowski,andy wachowski/lana wachowski,1999,4ce2b81295544
558,Modern Times,Modern Times,modern times,Charles Chaplin,charles chaplin,1936,4ce2b6bbbf1e2
558,Nights of Cabiria,Nights of Cabiria,nights of cabiria,Federico Fellini,federico fellini,1957,4ce2b8331649f
558,Rashomon,Rashomon,rashomon,Akira Kurosawa,akira kurosawa,1950,4ce2b6b3ec3fe
558,Solaris,Solaris,solaris,Andrei Tarkovsky,andrei tarkovsky,1972,4ce2b6b657a6a
558,"Spring, Summer, Fall, Winter and Spring…","Spring, Summer, Fall, Winter and Spring…","spring, summer, fall, winter and spring…",Kim Ki-Duk,kim ki-duk,2003,4ce2b89a9ee7b
558,Wild Strawberries,Wild Strawberries,wild strawberries,Ingmar Bergman,ingmar bergman,1957,4ce2b6b6466ce
1033,Barry Lyndon,Barry Lyndon,barry lyndon,Stanley Kubrick,stanley kubrick,1975,4ce2b6bc285f7
1033,"Death of Mr Lazarescu, The",The Death of Mr Lazarescu,the death of mr lazarescu,Cristi Puiu,cristi puiu,2005,4ce2b8b181b6e
1033,"Enigma of Kaspar Hauser, The",The Enigma of Kaspar Hauser,the enigma of kaspar hauser,Werner Herzog,werner herzog,1974,4ce2b6ad87c49
1033,Hidden,Hidden,hidden,Michael Haneke,michael haneke,2004,4ce2b8b17e6c2
1033,"Killing of a Chinese Bookie, The",The Killing of a Chinese Bookie,the killing of a chinese bookie,John Cassavetes,john cassavetes,1976,4ce2b6ae11be2
1033,"Man Escaped, A",A Man Escaped,a man escaped,Robert Bresson,robert bresson,1956,4ce2b6a7da289
1033,"Match Factory Girl, The",The Match Factory Girl,the match factory girl,Aki Kaurismaki,aki kaurismaki,1990,4ce2b7a386c30
1033,Mirror,Mirror,mirror,Andrei Tarkovsky,andrei tarkovsky,1974,4ce2b6bb90873
1033,My Childhood,My Childhood,my childhood,Bill Douglas,bill douglas,1972,4ce2b6b10e49d
1033,"Silence, The",The Silence,the silence,Ingmar Bergman,ingmar bergman,1963,4ce2b6b94a861
316,2001: A Space Odyssey,2001: A Space Odyssey,2001: a space odyssey,Stanley Kubrick,stanley kubrick,1968,4ce2b6b9450a5
316,Andrei Rublev,Andrei Rublev,andrei rublev,Andrei Tarkovsky,andrei tarkovsky,1966,4ce2b6b7433c1
316,Barton Fink,Barton Fink,barton fink,Joel & Ethan Coen,joel & ethan coen,1991,4ce2b7a7c7114
316,Blade Runner,Blade Runner,blade runner,Ridley Scott,ridley scott,1982,4ce2b69ac89d8
316,Blow Up,Blow Up,blow up,Michelangelo Antonioni,michelangelo antonioni,1966,4ce2b6f695fc4
316,"Discreet Charm of the Bourgeoisie, The",The Discreet Charm of the Bourgeoisie,the discreet charm of the bourgeoisie,Luis Buñuel,luis bunuel,1972,4ce2b6a76bf31
316,Don't Look Now,Don't Look Now,don't look now,Nicolas Roeg,nicolas roeg,1973,4ce2b6a91da80
316,Man with a Movie Camera,Man with a Movie Camera,man with a movie camera,Dziga Vertov,dziga vertov,1929,4ce2b6a21d217
316,Masculin Féminin,Masculin Féminin,masculin feminin,Jean-Luc Godard,jean-luc godard,1966,4ce2b6b0155c4
