film_id,title_raw,title_searchable,director_raw,director_searchable,year,country,genre,film_type,category,actors_raw,actors_searchable,alternate_titles_raw,alternate_titles_searchable
4ce2b6938b54a,O Lucky Man!,o lucky man!,,,1973,United Kingdom | USA,Comedy | Fantasy,Film,Fiction,Malcolm McDowell | Ralph Richardson | Rachel Roberts,malcolm mcdowell | ralph richardson | rachel roberts,Lucky Man | Coffee Man,lucky man | coffee man
4ce2b693a1a98,Le TEMPESTAIRE,le tempestaire,Jean Epstein,jean epstein,1947,France,Fantasy,Film,Non Fiction,,,,
4ce2b693a235d,TERRA EM TRANSE,terra em transe,Glauber Rocha,glauber rocha,1967,Brazil,Drama,Film,Fiction,Jardel Filho | José Lewgoy | Glauce Rocha,jardel filho | jose lewgoy | glauce rocha,LAND IN TRANCE | LAND IN TORMENT | LAND IN ANGUISH | EARTH ENTRANCED,land in trance | land in torment | land in anguish | earth entranced
4ce2b693a2ab4,T.G.: Psychic Rally in Heaven,t.g.: psychic rally in heaven,Derek Jarman,derek jarman,1981,United Kingdom,Performance,Film,Fiction,Throbbing Gristle | Genesis P. Orridge | Chris Carter,throbbing gristle | genesis p. orridge | chris carter,Throbbing Gristle | Psychic Rally in Heaven,throbbing gristle | psychic rally in heaven
4ce2b693b2c90,DOBRO POZHALOVAT,dobro pozhalovat,Elem Klimov,elem klimov,1964,USSR,,Film,Fiction,Vitya Kosykh | Evgeny Evstignyev | Lydia Smirnova,vitya kosykh | evgeny evstignyev | lydia smirnova,NO HOLIDAY FOR INOCHKIN | WELCOME | WELCOME OR NO ENTRY FOR UNAUTHORISED PERSONS,no holiday for inochkin | welcome | welcome or no entry for unauthorised persons
4ce2b693c9d98,The Draughtsman's Contract,the draughtsman's contract,,,1982,United Kingdom,Period drama,Film,Fiction,Anthony Higgins | Janet Suzman | Anne Louise Lambert,anthony higgins | janet suzman | anne louise lambert,Meurtre Dans Un Jardin Anglais | Der Kontrakt Des Zeichners,meurtre dans un jardin anglais | der kontrakt des zeichners
4ce2b693ce4b7,Dune,dune,David Lynch,david lynch,1984,USA,Science Fiction,Film,Fiction,The Vienna Symphony Orchestra | Francesca Annis | Leonardo Cimino,the vienna symphony orchestra | francesca annis | leonardo cimino,,
4ce2b693ec5ed,E.T.  The Extra-terrestrial,e.t.  the extra-terrestrial,Steven Spielberg,steven spielberg,1982,USA,Science Fiction,Film,Fiction,Dee Wallace-Stone | Peter Coyote | Robert MacNaughton,dee wallace-stone | peter coyote | robert macnaughton,E.T. and Me | A Boy's Life,e.t. and me | a boy's life
4ce2b69412f2f,FAITS DIVERS,faits divers,,,1983,France,Documentary,Film,Non Fiction,,,NEWS ITEMS | MIXED REPORTS,news items | mixed reports
4ce2b69415af8,Fanny and Alexander,fanny and alexander,Ingmar Bergman,ingmar bergman,1982,France | Sweden | Federal Republic of Germany,Drama,Television,Fiction,Kristina Adolphson | Börje Ahlstedt | Pernilla Allwin,kristina adolphson | borje ahlstedt | pernilla allwin,Fanny och Alexander | Fanny und Alexander | Fanny et Alexandre,fanny och alexander | fanny und alexander | fanny et alexandre
