actor,films,film_votes,votes_per_film,directors
John Wayne,16,184,11.50,"John Ford, Howard Hawks, Howard Hawks/Arthur Rosson, Raoul Walsh"
Robert De Niro,13,203,15.62,"Martin Scorsese, Sergio Leone, Michael Cimino, Bernardo Bertolucci, Terry Gilliam, Michael Mann, Roland Joffé"
Clint Eastwood,13,35,2.69,"Sergio Leone, Clint Eastwood, Don Siegel, Brian G Hutton"
Cary Grant,12,102,8.50,"Alfred Hitchcock, Howard Hawks, Leo McCarey, George Cukor, Josef von Sternberg, Wesley Ruggles"
Tony Leung Chiu-wai,12,97,8.08,"Wong Kar Wai, Hsiao-hsien Hou, Zhang Yimou, Tran Anh Hung, John Woo, Andrew Lau/Alan Mak, Ang Lee"
Henry Fonda,12,94,7.83,"Sergio Leone, Preston Sturges, John Ford, Sidney Lumet, Otto Preminger, King Vidor, Alfred Hitchcock, Fritz Lang"
Charles Chaplin,11,93,8.45,Charles Chaplin
James Stewart,10,313,31.30,"Alfred Hitchcock, John Ford, Frank Capra, Ernst Lubitsch, Otto Preminger, Frank Borzage, George Cukor, Anthony Mann"
Catherine Deneuve,10,52,5.20,"Jacques Demy, Luis Buñuel, Lars von Trier, Roman Polanski, Vincent Paronnaud/Marjane Satrapi, Andre Techine, François Truffaut"
Jeanne Moreau,10,39,3.90,"François Truffaut, Michelangelo Antonioni, Marcel Ophüls, Rainer Werner Fassbinder, Orson Welles, Louis Malle, Tony Richardson, Peter Brook"
Marcello Mastroianni,9,167,18.56,"Federico Fellini, Michelangelo Antonioni, Mario Monicelli, Valerio Zurlini, Pietro Germi, John Boorman, Luchino Visconti, Marco Ferreri"
Al Pacino,9,143,15.89,"Francis Ford Coppola, Sidney Lumet, Michael Mann, Brian De Palma, Jerry Schatzberg"
Orson Welles,9,99,11.00,"Orson Welles, Claude Chabrol"
Delphine Seyrig,9,95,10.56,"Chantal Akerman, Alain Resnais, Luis Buñuel, Marguerite Duras, François Truffaut, Ulrike Ottinger"
Jean Gabin,9,58,6.44,"Jean Renoir, Marcel Carné, Jacques Becker, Henri Decoin, Jean Grémillon, Julien Duviver"
