arun-a-k,Arun A.K.,arun a.k.,critic,India,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/arun-a-k
carlos-abascal-peiro,Carlos Abascal Peiró,carlos abascal peiro,director,Spain,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/carlos-abascal-peiro
ali-abbasi,Ali Abbasi,ali abbasi,director,Denmark,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ali-abbasi
mohammed-hashem-abdel-salam,Mohammed Hashem Abdel-Salam,mohammed hashem abdel-salam,critic,Egypt,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mohammed-hashem-abdel-salam
mo-abdi,Mo Abdi,mo abdi,critic,Iran/UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mo-abdi
gulnara-abikeyeva,Gulnara Abikeyeva,gulnara abikeyeva,critic,Kazakhstan,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/gulnara-abikeyeva
raphael-abraham,Raphael Abraham,raphael abraham,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/raphael-abraham
amjad-abu-alala,Amjad Abu Alala,amjad abu alala,director,Sudan ,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/amjad-abu-alala
inka-achte,Inka Achté,inka achte,critic,Finland,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/inka-achte
panos-achtsioglou,Panos Achtsioglou,panos achtsioglou,critic,Greece,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/panos-achtsioglou
mark-adams,Mark Adams,mark adams,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mark-adams
margit-adorf,Margit Adorf,margit adorf,critic,Estonia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/margit-adorf
kaleem-aftab,Kaleem Aftab,kaleem aftab,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/kaleem-aftab
manish-agarwal,Manish Agarwal,manish agarwal,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/manish-agarwal
carlos-aguilar,Carlos Aguilar,carlos aguilar,critic,Mexico/USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/carlos-aguilar
khadar-ayderus-ahmed,Khadar Ayderus Ahmed,khadar ayderus ahmed,director,Finland/Somalia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/khadar-ayderus-ahmed
omar-ahmed,Omar Ahmed,omar ahmed,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/omar-ahmed
oris-aigbokhaevbolo,Oris Aigbokhaevbolo,oris aigbokhaevbolo,critic,Nigeria,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/oris-aigbokhaevbolo
karim-ainouz,Karim Aïnouz,karim ainouz,director,Brazil,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/karim-ainouz
ian-aitken,Ian Aitken,ian aitken,critic,Hong Kong,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ian-aitken
daisuke-akasaka,Daisuke Akasaka,daisuke akasaka,critic,Japan,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/daisuke-akasaka
mania-akbari,Mania Akbari,mania akbari,director,Iran,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mania-akbari
desiree-akhavan,Desiree Akhavan,desiree akhavan,director,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/desiree-akhavan
isra-al-kassi,Isra Al Kassi,isra al kassi,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/isra-al-kassi
antoneta-alamat-kusijanovic,Antoneta Alamat Kusijanović,antoneta alamat kusijanović,director,,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/antoneta-alamat-kusijanovic
antti-alanen,Antti Alanen,antti alanen,critic,Finland,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/antti-alanen
sy-alassane,Sy Alassane,sy alassane,director,,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/sy-alassane
saleem-albeik,Saleem Albeik,saleem albeik,critic,Palestine/France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/saleem-albeik
rommy-albers,Rommy Albers,rommy albers,critic,Netherlands,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/rommy-albers
marcelo-alderete,Marcelo Alderete,marcelo alderete,critic,Argentina,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/marcelo-alderete
